id,movieinfo_id,actor_id
10426,1832,377
10427,1832,520
10428,1832,999
10429,1832,435
10430,1833,320
10431,1833,122
10432,1833,212
10433,1833,223
10434,1833,397
10435,1833,443
10436,1834,26
10437,1834,540
10438,1834,258
10439,1834,211
10440,1834,543
10441,1834,138
10442,1835,27
10443,1835,789
10444,1835,576
10445,1835,2113
10446,1835,2114
10447,1835,692
10448,1836,1836
10449,1836,45
10450,1836,53
10451,1836,2115
10452,1836,2116
10453,1836,972
10454,1837,43
10455,1837,9
10456,1837,66
10457,1837,88
10458,1837,1997
10459,1837,2117
10460,1838,222
10461,1838,229
10462,1838,148
10463,1838,381
10464,1838,447
10465,1838,76
10466,1839,249
10467,1839,44
10468,1839,439
10469,1839,10
10470,1839,527
10471,1839,636
10472,1840,259
10473,1840,992
10474,1840,185
10475,1840,1032
10476,1840,2118
10477,1840,898
10478,1841,38
10479,1841,16
10480,1841,418
10481,1841,66
10482,1841,86
10483,1841,158
10484,1842,117
10485,1842,432
10486,1842,1355
10487,1842,293
10488,1842,335
10489,1842,610
10490,1843,66
10491,1843,125
10492,1843,215
10493,1843,2025
10494,1843,34
10495,1843,2119
10496,1844,873
10497,1844,520
10498,1844,589
10499,1844,521
10500,1844,830
10501,1844,2120
10502,1845,38
10503,1845,258
10504,1845,661
10505,1845,224
10506,1845,780
10507,1845,447
10508,1846,43
10509,1846,85
10510,1846,208
10511,1846,381
10512,1846,1031
10513,1846,814
10514,1847,14
10515,1847,950
10516,1847,2121
10517,1847,2122
10518,1847,2123
10519,1847,2124
10520,1848,297
10521,1848,790
10522,1848,53
10523,1848,375
10524,1848,42
10525,1848,1406
10526,1849,243
10527,1849,561
10528,1849,56
10529,1849,5
10530,1849,2125
10531,1850,69
10532,1850,259
10533,1850,2126
10534,1850,2127
10535,1850,2128
10536,1851,524
10537,1851,794
10538,1851,129
10539,1851,452
10540,1851,40
10541,1851,503
10542,1852,520
10543,1852,376
10544,1852,2129
10545,1852,2088
10546,1852,2130
10547,1852,1006
10548,1853,508
10549,1853,57
10550,1853,1033
10551,1853,462
10552,1853,355
10553,1853,136
10554,1854,122
10555,1854,661
10556,1854,2131
10557,1854,2132
10558,1854,2133
10559,1854,2134
10560,1855,1080
10561,1855,543
10562,1855,508
10563,1855,264
10564,1855,43
10565,1855,26
10566,1856,520
10567,1856,146
10568,1856,1974
10569,1856,72
10570,1856,899
10571,1856,667
10572,1857,508
10573,1857,305
10574,1857,375
10575,1857,72
10576,1857,209
10577,1858,454
10578,1858,652
10579,1858,24
10580,1858,641
10581,1858,535
10582,1858,301
10583,1859,284
10584,1859,959
10585,1859,402
10586,1859,348
10587,1859,98
10588,1859,67
10589,1860,124
10590,1860,300
10591,1860,523
10592,1860,199
10593,1860,104
10594,1860,257
10595,1861,959
10596,1861,308
10597,1861,43
10598,1861,1033
10599,1861,367
10600,1861,2135
10601,1862,43
10602,1862,123
10603,1862,211
10604,1862,40
10605,1862,684
10606,1862,2015
10607,1863,520
10608,1863,1062
10609,1863,305
10610,1863,1729
10611,1863,1719
10612,1863,667
10613,1864,1031
10614,1864,508
10615,1864,16
10616,1864,500
10617,1864,138
10618,1864,219
10619,1865,2136
10620,1865,2137
10621,1865,35
10622,1865,1004
10623,1865,2138
10624,1865,2139
10625,1866,508
10626,1866,462
10627,1866,311
10628,1866,158
10629,1866,220
10630,1866,465
10631,1867,274
10632,1867,641
10633,1867,278
10634,1867,2140
10635,1867,2141
10636,1867,2142
10637,1868,259
10638,1868,468
10639,1868,265
10640,1868,297
10641,1868,628
10642,1868,289
10643,1869,308
10644,1869,367
10645,1869,356
10646,1869,462
10647,1869,842
10648,1869,124
10649,1870,462
10650,1870,745
10651,1870,309
10652,1870,445
10653,1870,257
10654,1870,440
10655,1871,243
10656,1871,88
10657,1871,1092
10658,1871,2017
10659,1871,997
10660,1871,519
10661,1872,122
10662,1872,308
10663,1872,462
10664,1872,445
10665,1872,708
10666,1872,220
10667,1873,462
10668,1873,153
10669,1873,355
10670,1873,978
10671,1873,4
10672,1873,361
10673,1874,222
10674,1874,123
10675,1874,432
10676,1874,2143
10677,1874,1101
10678,1874,335
10679,1875,308
10680,1875,38
10681,1875,462
10682,1875,543
10683,1875,1048
10684,1875,158
10685,1876,483
10686,1876,278
10687,1876,2144
10688,1876,195
10689,1876,2061
10690,1876,1265
10691,1877,59
10692,1877,348
10693,1877,136
10694,1877,119
10695,1877,828
10696,1877,43
10697,1878,376
10698,1878,540
10699,1878,927
10700,1878,72
10701,1878,156
10702,1878,361
10703,1879,487
10704,1879,2145
10705,1879,2146
10706,1879,2147
10707,1879,2148
10708,1879,2149
10709,1880,828
10710,1880,298
10711,1880,2150
10712,1880,2076
10713,1880,98
10714,1880,222
10715,1881,259
10716,1881,297
10717,1881,265
10718,1881,121
10719,1881,116
10720,1881,672
10721,1882,132
10722,1882,2151
10723,1882,1983
10724,1882,2152
10725,1882,574
10726,1882,1689
10727,1883,508
10728,1883,57
10729,1883,1033
10730,1883,72
10731,1883,76
10732,1883,510
10733,1884,43
10734,1884,123
10735,1884,88
10736,1884,352
10737,1884,649
10738,1884,135
10739,1885,2153
10740,1885,866
10741,1885,278
10742,1885,1989
10743,1885,1646
10744,1885,295
10745,1886,243
10746,1886,14
10747,1886,1738
10748,1886,833
10749,1886,4
10750,1886,579
10751,1887,643
10752,1887,259
10753,1887,311
10754,1887,312
10755,1887,33
10756,1887,93
10757,1888,325
10758,1888,51
10759,1888,539
10760,1888,2
10761,1888,511
10762,1888,490
10763,1889,38
10764,1889,838
10765,1889,312
10766,1889,156
10767,1889,88
10768,1889,324
10769,1890,2154
10770,1890,1689
10771,1890,650
10772,1890,479
10773,1890,2155
10774,1891,244
10775,1891,487
10776,1891,2081
10777,1891,2156
10778,1891,2157
10779,1891,257
10780,1892,57
10781,1892,258
10782,1892,223
10783,1892,2158
10784,1892,212
10785,1892,378
10786,1893,249
10787,1893,83
10788,1893,494
10789,1893,70
10790,1893,5
10791,1893,651
10792,1894,2159
10793,1894,243
10794,1894,299
10795,1894,88
10796,1894,1689
10797,1895,2160
10798,1895,2161
10799,1895,2162
10800,1895,1808
10801,1896,62
10802,1896,661
10803,1896,784
10804,1896,398
10805,1896,558
10806,1896,39
10807,1897,643
10808,1897,404
10809,1897,68
10810,1897,16
10811,1897,7
10812,1897,2163
10813,1898,487
10814,1898,24
10815,1898,235
10816,1898,1362
10817,1898,1986
10818,1898,1808
10819,1899,200
10820,1899,1083
10821,1899,802
10822,1899,767
10823,1899,330
10824,1899,33
10825,1900,309
10826,1900,248
10827,1900,63
10828,1900,306
10829,1900,981
10830,1900,2164
10831,1901,2165
10832,1901,235
10833,1901,2166
10834,1901,2167
10835,1901,2168
10836,1901,2169
10837,1902,297
10838,1902,468
10839,1902,44
10840,1902,156
10841,1902,523
10842,1902,1047
10843,1903,523
10844,1903,49
10845,1903,205
10846,1903,634
10847,1903,603
10848,1903,70
10849,1904,471
10850,1904,80
10851,1904,2170
10852,1904,743
10853,1904,2171
10854,1904,12
10855,1905,643
10856,1905,208
10857,1905,406
10858,1905,248
10859,1905,67
10860,1905,66
10861,1906,2172
10862,1906,2173
10863,1906,2174
10864,1906,1496
10865,1906,91
10866,1906,2175
10867,1907,37
10868,1907,292
10869,1907,8
10870,1907,688
10871,1907,134
10872,1907,449
10873,1908,309
10874,1908,8
10875,1908,52
10876,1908,241
10877,1908,21
10878,1908,384
10879,1909,43
10880,1909,500
10881,1909,355
10882,1909,324
10883,1909,1922
10884,1909,2132
10885,1910,428
10886,1910,7
10887,1910,1692
10888,1910,53
10889,1910,1273
10890,1910,633
10891,1911,799
10892,1911,834
10893,1911,211
10894,1911,202
10895,1911,121
10896,1911,628
10897,1912,673
10898,1912,297
10899,1912,50
10900,1912,153
10901,1912,105
10902,1912,134
10903,1913,527
10904,1913,2145
10905,1913,2176
10906,1913,195
10907,1913,724
10908,1913,2177
10909,1914,7
10910,1914,871
10911,1914,2178
10912,1914,2179
10913,1914,2180
10914,1915,495
10915,1915,244
10916,1915,768
10917,1915,2181
10918,1915,53
10919,1915,1362
10920,1916,2182
10921,1916,235
10922,1916,722
10923,1916,2183
10924,1916,2184
10925,1916,871
10926,1917,203
10927,1917,494
10928,1917,88
10929,1917,471
10930,1917,316
10931,1917,519
10932,1918,88
10933,1918,5
10934,1918,2102
10935,1918,2185
10936,1918,1946
10937,1918,2186
10938,1919,222
10939,1919,1972
10940,1919,1668
10941,1919,137
10942,1919,224
10943,1919,835
10944,1920,191
10945,1920,236
10946,1920,233
10947,1920,2187
10948,1920,341
10949,1920,2188
10950,1921,1
10951,1921,78
10952,1921,88
10953,1921,519
10954,1921,2
10955,1921,528
10956,1922,429
10957,1922,133
10958,1922,471
10959,1922,80
10960,1922,2189
10961,1922,2190
10962,1924,83
10963,1924,371
10964,1924,528
10965,1924,690
10966,1924,2146
10967,1924,1004
10968,1925,14
10969,1925,88
10970,1925,235
10971,1925,767
10972,1925,529
10973,1925,112
10974,1926,477
10975,1926,1831
10976,1926,2191
10977,1926,2192
10978,1926,1473
10979,1926,2193
10980,1927,25
10981,1927,278
10982,1927,130
10983,1927,44
10984,1927,2
10985,1927,449
10986,1928,123
10987,1928,259
10988,1928,7
10989,1928,63
10990,1928,14
10991,1928,635
10992,1929,249
10993,1929,603
10994,1929,124
10995,1929,31
10996,1929,132
10997,1929,997
10998,1930,839
10999,1930,58
11000,1930,2194
11001,1930,44
11002,1930,121
11003,1930,2132
11004,1931,2195
11005,1931,244
11006,1931,80
11007,1931,1959
11008,1931,692
11009,1931,40
11010,1932,106
11011,1932,2196
11012,1932,70
11013,1932,527
11014,1932,2197
11015,1932,37
11016,1933,428
11017,1933,58
11018,1933,211
11019,1933,633
11020,1933,1411
11021,1933,785
